county,state,reports,crop.index,animal.index,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,all.pixels,d.forest,e.forest,m.forest
Los Angeles,California,20,686.00,303.00,9826009.00,9896602.00,9970436.00,10045175.00,10109436.00,10170292.00,13612881,367,545932,282358
Madera,California,1,1013.00,341.00,151125.00,152089.00,152160.00,152125.00,154562.00,154998.00,6196682,88413,1818334,4727
Marin,California,0,105.00,203.00,252903.00,255403.00,256021.00,258552.00,260550.00,261221.00,2383330,50847,302005,95830
Mariposa,California,3,52.00,238.00,18260.00,18191.00,17855.00,17734.00,17636.00,17531.00,4209655,138882,1632033,25422
Mendocino,California,14,699.00,454.00,87811.00,87495.00,87522.00,87373.00,87683.00,87649.00,11160433,328567,5112364,718963
Merced,California,0,1714.00,717.00,256832.00,259784.00,261788.00,263312.00,266087.00,268455.00,5693700,1467,1262,79658
Modoc,California,3,204.00,242.00,9697.00,9497.00,9333.00,9110.00,9015.00,8965.00,12096403,1413,3124840,377
Mono,California,14,27.00,43.00,14246.00,14405.00,14322.00,14037.00,14057.00,13909.00,9012857,28119,1940262,7244
Monterey,California,4,672.00,372.00,416413.00,421466.00,426441.00,429109.00,431293.00,433898.00,10852643,787,1250167,867341
Napa,California,1,1485.00,169.00,136810.00,137998.00,139055.00,140413.00,141551.00,142456.00,2269356,42456,301430,246181
Nevada,California,11,286.00,331.00,98777.00,98779.00,98288.00,98142.00,98763.00,98877.00,2802360,158399,1623055,71349
Orange,California,0,209.00,60.00,3017866.00,3056084.00,3089343.00,3120180.00,3144961.00,3169776.00,2728107,162,20920,15704
Placer,California,6,441.00,689.00,350234.00,356832.00,361215.00,366858.00,371105.00,375391.00,4322993,126344,2093260,114040
Plumas,California,6,43.00,92.00,19918.00,19684.00,19326.00,18841.00,18570.00,18409.00,7520866,12820,5074315,9359
Riverside,California,9,1823.00,626.00,2202286.00,2237433.00,2267556.00,2295816.00,2328329.00,2361026.00,21016710,2177,390607,65114
Sacramento,California,0,578.00,594.00,1422010.00,1435548.00,1448466.00,1462338.00,1481474.00,1501335.00,2861414,10770,913,608
San Benito,California,0,310.00,249.00,55557.00,56197.00,56885.00,57605.00,58308.00,58792.00,4001471,101,160115,310183
San Bernardino,California,10,645.00,432.00,2041642.00,2064200.00,2079526.00,2091599.00,2110386.00,2128133.00,57856641,2537,1024766,119043
San Diego,California,8,4704.00,580.00,3104386.00,3142256.00,3184358.00,3223645.00,3265700.00,3299521.00,12984340,1087,355895,237046
San Francisco,California,0,1.00,2.00,805813.00,816231.00,829517.00,840715.00,852537.00,864816.00,667240,15,2926,912
San Joaquin,California,0,2705.00,682.00,687442.00,695432.00,701464.00,704654.00,715114.00,726106.00,4105267,367,407,27136
San Luis Obispo,California,1,1501.00,852.00,269905.00,271208.00,274552.00,276308.00,279116.00,281401.00,10404610,371,435727,859772
San Mateo,California,0,185.00,112.00,719973.00,729435.00,740645.00,750109.00,758333.00,765135.00,2132290,1011,323174,263196
